home_team,2011,2012,2013,2014,2015,notes
Arizona,8,8,8,8,8,
Atlanta,0,0,0,0,0,"provided only in-stadium arrest data, was not included"
Baltimore,8,0,7,8,8,"2012 data had errors, was not included; played one home game in 2013 in London"
Buffalo,0,0,0,0,0,"only provided 2014 and 2015 data to The Post, was not included"
Carolina,8,8,8,8,8,
Chicago,8,8,8,8,0,"2015 data had errors, was not included"
Cincinnati,8,8,8,8,8,
Cleveland,0,0,0,0,0,did not provide any data to The Post
Dallas,8,8,8,8,8,
Denver,8,8,8,8,8,
Detroit,0,0,0,0,0,"provided only in-stadium arrest data, was not included"
Green Bay,8,8,8,8,8,
Houston,8,8,8,8,8,
Indianapolis,8,8,8,8,8,
Jacksonville,8,8,7,7,7,"played one home game in 2013, 2014 and 2015 in London"
Kansas City,8,8,8,8,7,played one home game in 2015 in London
Miami,0,8,8,8,7,did not provide 2011 data to The Post; played one home game in 2015 in London
Minnesota,0,0,0,0,0,"provided only in-stadium arrest data, was not included"
New England,8,8,8,8,8,
New Orleans,0,0,0,0,0,did not provide any data to The Post
New York Giants,8,8,8,8,8,
New York Jets,8,8,8,8,8,"one London home game, two games missing from 2014 season"
Oakland,8,8,8,5,8,played one home game in 2014 in London; two other games from 2014 missing from reports provided to The Post
Philadelphia,8,8,8,8,8,
Pittsburgh,8,8,8,8,8,
San Diego,8,8,8,8,8,
San Francisco,8,8,8,8,8,
Seattle,8,8,8,8,8,
St. Louis,0,0,0,0,0,only provided year-by-year totals
Tampa Bay,7,8,8,8,8,played one home game in 2011 in London
Tennessee,8,8,8,8,8,
Washington,8,8,8,8,8,
